ATP5F1B	ATP5F1A
ATP5F1B	ATP5PD
ATP5F1B	MT-ATP6
ATP5F1B	ATP5PF
ATP5F1B	ATP5PO
ATP5F1B	ATP5PB
ATP5F1B	ATP5F1C
ATP5F1C	UQCRC1
ATP5F1C	ATP5F1D
ATP5F1C	ATP5F1E
ATP5F1C	NDUFA10
ATP5F1C	COX5B
ATP5F1C	NDUFB5
ATP5F1C	ATP5F1B
ATP5F1C	NDUFS3
ATP5F1C	NDUFA9
ATP5F1C	UQCRC2
ATP5F1C	NDUFB9
ATP5F1C	ATP5MC3
ATP5F1C	ATP5PO
ATP5F1C	NDUFS4
ATP5F1C	NDUFB8
ATP5F1C	ATP5PD
ATP5F1C	UQCRFS1
ATP5F1C	NDUFS8
ATP5F1C	CYC1
ATP5F1C	COX5A
ATP5F1C	NDUFV2
ATP5F1C	NDUFA12
ATP5F1C	COX4I1
ATP5F1C	UQCRQ
ATP5F1C	NDUFB6
ATP5F1C	NDUFV1
ATP5F1C	NDUFS2
ATP5F1C	NDUFS1
ATP5F1C	UQCRB
ATP5F1C	SDHB
ATP5F1C	MT-ATP8
ATP5F1C	ATP5MC2
ATP5F1C	ATP5PB
ATP5F1C	ATP5F1A
ATP5F1C	MT-ATP6
ATP5F1C	ATP5PF
ATP5F1C	ATP5MC1
ATP5F1D	UQCRC1
ATP5F1D	COX7C
ATP5F1D	NDUFB5
ATP5F1D	NDUFS2
ATP5F1D	NDUFA7
ATP5F1D	NDUFS6
ATP5F1D	NDUFB9
ATP5F1D	UQCR11
ATP5F1D	NDUFAB1
ATP5F1D	NDUFB10
ATP5F1D	UQCRB
ATP5F1D	SDHB
ATP5F1D	COX4I1
ATP5F1D	NDUFA13
ATP5F1D	NDUFB8
ATP5F1D	UQCRQ
ATP5F1D	NDUFV2
ATP5F1D	NDUFS3
ATP5F1D	UQCRFS1
ATP5F1D	NDUFB7
ATP5F1D	COX5B
ATP5F1D	NDUFV1
ATP5F1D	NDUFS8
ATP5F1D	COX5A
ATP5F1D	CYC1
ATP5F1D	NDUFS7
ATP5F1D	MT-ATP8
ATP5F1D	ATP5MC2
ATP5F1D	ATP5F1A
ATP5F1D	MT-ATP6
ATP5F1D	ATP5PD
ATP5F1D	ATP5MC1
ATP5F1D	ATP5MC3
ATP5F1D	ATP5PF
ATP5F1D	ATP5F1B
ATP5F1D	ATP5PO
ATP5F1D	ATP5PB
ATP5F1D	ATP5F1E
ATP5F1D	ATP5F1C
ATP5F1E	ATP5F1D
ATP5F1E	UQCR11
ATP5F1E	COX7C
ATP5F1E	UQCR10
ATP5F1E	ATP5MC2
ATP5F1E	MT-ATP8
ATP5F1E	ATP5MC3
ATP5F1E	ATP5MC1
ATP5F1E	ATP5PO
ATP5F1E	ATP5F1B
ATP5F1E	ATP5F1C
ATP5F1E	ATP5PB
ATP5F1E	MT-ATP6
ATP5F1E	ATP5PD
ATP5F1E	ATP5F1A
ATP5F1E	ATP5PF
ATP5MC1	ATP5F1D
ATP5MC1	ATP5F1E
ATP5MC1	ATP5F1B
ATP5MC1	ATP5MC3
ATP5MC1	ATP5PO
ATP5MC1	NDUFB8
ATP5MC1	ATP5PD
ATP5MC1	UQCRFS1
ATP5MC1	CYC1
ATP5MC1	ATP5F1C
ATP5MC1	MT-ATP6
ATP5MC1	MT-ATP8
ATP5MC1	ATP5PB
ATP5MC1	ATP5MC2
ATP5MC1	ATP5PF
ATP5MC1	ATP5F1A
ATP5MC2	ATP5F1D
ATP5MC2	ATP5F1E
ATP5MC2	ATP5F1B
ATP5MC2	ATP5MC3
ATP5MC2	ATP5PO
ATP5MC2	ATP5PD
ATP5MC2	UQCRFS1
ATP5MC2	ATP5F1C
ATP5MC2	MT-ATP6
ATP5MC2	MT-ATP8
ATP5MC2	ATP5PB
ATP5MC2	ATP5MC1
