node1	node2
FGFR1	NRAS
FGFR1	PIK3CD
FGFR1	FGF9
FGFR1	PIK3CB
FGFR1	HRAS
FGFR1	PIK3R1
FGFR1	FGF21
FGFR1	FGF1
FGFR1	FGF16
GADD45A	GADD45B
GADD45A	GADD45G
GADD45A	TP53
GADD45A	CDKN1A
GADD45B	GADD45G
GADD45B	TP53
GADD45B	GADD45A
GADD45G	GADD45B
GADD45G	TP53
GADD45G	GADD45A
HGF	FGF2
HGF	IGF1R
HGF	EGFR
HGF	MET
HRAS	MAPK1
HRAS	PIK3R2
HRAS	KRAS
HRAS	PDGFRA
HRAS	PDGFRB
HRAS	PIK3R3
HRAS	MAP2K2
HRAS	MAPK3
HRAS	PIK3CA
HRAS	TP53
HRAS	EGFR
HRAS	ARAF
HRAS	MAP2K1
HRAS	MET
HRAS	NRAS
HRAS	PIK3CD
HRAS	FGFR1
HRAS	RAF1
HRAS	IGF1R
HRAS	PIK3CB
HRAS	CDKN2A
HRAS	PIK3R1
HRAS	BRAF
IGF1	PDGFRB
IGF1	EGF
IGF1	EGFR
IGF1	MET
IGF1	PDGFB
IGF1	PDGFA
IGF1	PDGFD
IGF1	AKT1
IGF1	PDGFC
IGF1	IGF1R
IGF1R	PIK3R2
IGF1R	HGF
IGF1R	KRAS
IGF1R	MDM2
IGF1R	PIK3R3
IGF1R	PIK3CA
IGF1R	FGF2
IGF1R	EGF
IGF1R	EGFR
IGF1R	NRAS
IGF1R	PIK3CD
IGF1R	IGF1
IGF1R	HRAS
IGF1R	PIK3R1
IGF1R	PIK3CB
KRAS	MAPK1
KRAS	PIK3R2
KRAS	AKT1
KRAS	PTEN
KRAS	NRAS
KRAS	TP53
KRAS	PIK3R3
KRAS	PDGFRB
KRAS	PIK3R1
KRAS	MAP2K2
KRAS	IGF1R
KRAS	PIK3CB
KRAS	PIK3CD
KRAS	PDGFRA
KRAS	MET
KRAS	FGFR1
KRAS	MAPK3
KRAS	HRAS
KRAS	CDKN2A
KRAS	MAP2K1
KRAS	ARAF
KRAS	EGFR
KRAS	PIK3CA
KRAS	BRAF
KRAS	RAF1
MAP2K1	MAPK1
MAP2K1	KRAS
MAP2K1	MAP2K2
MAP2K1	MAPK3
MAP2K1	ARAF
MAP2K1	BAD
MAP2K1	NRAS
MAP2K1	HRAS
MAP2K1	BRAF
MAP2K1	RAF1
MAP2K2	MAPK1
MAP2K2	KRAS
MAP2K2	NRAS
MAP2K2	HRAS
MAP2K2	MAPK3
MAP2K2	ARAF
MAP2K2	MAP2K1
MAP2K2	RAF1
MAP2K2	BRAF
MAPK1	BAD
MAPK1	AKT3
MAPK1	AKT2
MAPK1	MITF
MAPK1	BRAF
MAPK1	NRAS
MAPK1	RAF1
MAPK1	HRAS
MAPK1	AKT1
MAPK1	KRAS
MAPK1	MAPK3
MAPK1	TP53
MAPK1	MAP2K1
MAPK1	MAP2K2
MAPK3	MAPK1
MAPK3	KRAS
MAPK3	MAP2K2
MAPK3	AKT3
MAPK3	BAD
MAPK3	MITF
MAPK3	AKT1
MAPK3	BRAF
MAPK3	RAF1
MAPK3	AKT2
MAPK3	NRAS
MAPK3	HRAS
MAPK3	TP53
MAPK3	MAP2K1
MDM2	CCND1
MDM2	PTEN
MDM2	CDH1
MDM2	AKT2
MDM2	AKT3
MDM2	CDKN1A
MDM2	IGF1R
MDM2	E2F1
MDM2	RB1
MDM2	AKT1
MDM2	CDKN2A
MDM2	TP53
MET	HGF
MET	KRAS
MET	CDH1
MET	PIK3CA
MET	FGF2
MET	EGF
MET	FGF7
MET	EGFR
MET	IGF1
MET	PIK3CD
MET	PIK3CB
MET	HRAS
MET	NRAS
MITF	MAPK1
MITF	MAPK3
NRAS	MAPK1
NRAS	PIK3R2
NRAS	KRAS
NRAS	PDGFRA
NRAS	PDGFRB
NRAS	PIK3R3
NRAS	MAP2K2
NRAS	MAPK3
NRAS	PIK3CA
NRAS	EGFR
NRAS	ARAF
NRAS	MAP2K1
NRAS	MET
NRAS	HRAS
NRAS	PIK3CB
NRAS	PIK3CD
NRAS	PIK3R1
NRAS	IGF1R
NRAS	FGFR1
NRAS	CDKN2A
NRAS	BRAF
NRAS	RAF1
PDGFA	PDGFRA
PDGFA	PDGFRB
PDGFA	EGF
PDGFA	EGFR
PDGFA	PDGFB
PDGFA	IGF1
PDGFA	PDGFD
PDGFA	PDGFC
PDGFB	PDGFRA
PDGFB	PDGFRB
PDGFB	FGF2
PDGFB	EGF
PDGFB	EGFR
PDGFB	IGF1
PDGFB	PDGFD
PDGFB	PDGFC
PDGFB	PDGFA
PDGFC	PDGFRA
PDGFC	PDGFRB
PDGFC	EGF
PDGFC	EGFR
PDGFC	PDGFB
PDGFC	PDGFA
PDGFC	IGF1
PDGFC	PDGFD
PDGFD	PDGFRA
PDGFD	PDGFRB
PDGFD	EGF
PDGFD	EGFR
PDGFD	PDGFB
PDGFD	PDGFA
PDGFD	IGF1
PDGFD	PDGFC
PDGFRA	PIK3R2
PDGFRA	KRAS
PDGFRA	FGF5
PDGFRA	PIK3CD
PDGFRA	PIK3R3
PDGFRA	PIK3CB
PDGFRA	HRAS
PDGFRA	NRAS
PDGFRA	FGF2
PDGFRA	EGFR
PDGFRA	EGF
PDGFRA	PDGFRB
PDGFRA	PIK3CA
PDGFRA	PIK3R1
PDGFRA	PDGFC
PDGFRA	PDGFA
PDGFRA	PDGFB
PDGFRA	PDGFD
PDGFRB	PIK3R2
PDGFRB	KRAS
PDGFRB	PDGFRA
PDGFRB	FGF7
PDGFRB	FGF10
PDGFRB	IGF1
PDGFRB	PIK3CD
PDGFRB	PTEN
PDGFRB	FGF2
PDGFRB	PIK3R3
PDGFRB	NRAS
PDGFRB	PIK3CB
PDGFRB	HRAS
